Sep 05, 2023 5:17:21 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Sep 05, 2023 5:17:22 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Sep 05, 2023 5:17:22 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /xipki-cli/lock
Sep 05, 2023 5:17:22 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Sep 05, 2023 5:17:22 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2023-09-05T17:17:27,803 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core/1.10.3
2023-09-05T17:17:27,851 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core.compatibility/1.0.0
2023-09-05T17:17:27,892 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.aries.proxy/org.apache.aries.proxy/1.1.13
2023-09-05T17:17:27,942 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.blueprintstate/4.4.3
2023-09-05T17:17:27,996 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.4.3
2023-09-05T17:17:28,038 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.4.3
2023-09-05T17:17:28,090 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.4.3
2023-09-05T17:17:28,134 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.4.3
2023-09-05T17:17:28,181 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.4.3
2023-09-05T17:17:28,236 | INFO  | features-2-thread-1 | FeaturesServiceImpl              1117 | 17 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.jline/jline/3.21.0
